순위,상품명,정가,할인가
1,앰플엔[녹는실앰플] 앰플엔 펩타이드샷 2X 모공탄력앰플 100ml,"23,900","19,900"
2,바이오더마[온라인 단독기획] 바이오더마 하이드라비오 에센스로션 2입 기획(200ml+200ml),"54,000","40,900"
3,메디큐브[흔적미백앰플]메디큐브 PDRN 핑크 펩타이드 앰플 30ml 리필기획(본품 30ML+리필 50ML),"46,000","25,900"
4,빌리프[비타민마스크15ml 증정/ 하루특가] 빌리프 아쿠아 밤 프로즌 크림 기획(크림50ml+31ml+세라믹괄사),"32,000","23,400"
5,메디힐[1+1/단독기획] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,"36,900","21,900"
6,라로슈포제[7월 올영픽] 라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+히알루 B5 세럼 1.5ml*2 증정),"40,000","28,900"
7,성분에디터[화잘먹크림/모공케어] 성분에디터 그린토마토 NMN 포어 리프팅 크림 50ml,"28,000","12,900"
8,브링그린[1등세럼] 브링그린 징크테카 트러블세럼 25ml+25ml리필 / 50ml+25리필 기획,"39,600","23,600"
9,웰라쥬[대용량150ml] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,"46,000","29,900"
10,아누아아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 기획 (+크림 30ml),"39,000","23,500"
11,숨37[하루특가] [단독기획] [누룩폼클렌저 10g 증정] 숨37 시크릿 에센스 기획 (30ml/80ml),"32,000","21,900"
12,닥터지[추가증정/이영지Pick/수분진정] 닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 증정기획 3종,"38,000","25,950"
13,이니스프리[리필기획] 이니스프리 비타민C 7일 톤업 세럼 30ML 리필 기획(+리필팩 30ML),"38,000","25,800"
14,에스네이처[모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),"24,000","17,900"
15,메디큐브[흔적미백]메디큐브 PDRN 핑크 시카 수딩 토너 250ml,"26,500","15,000"
16,에스트라[올영 어워즈 1등 크림]에스트라 아토베리어365 크림 80ml,"33,000","29,700"
17,빌리프[본품동일제품튜브 25ml 증정] [폭탄듀오] 빌리프 더 트루 크림 모이스춰라이징 밤/아쿠아 밤 30ml 1+1 기획,"32,000","23,400"
18,아누아[화해1위] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),"58,500","29,500"
19,쏘내추럴쏘내추럴 올 데이 메이크업 픽서 120ml (안개분사 캔타입),"24,000","16,800"
20,VT[7월 올영픽/모공에센스]VT 리들샷100에센스50ml기획(+리들샷300 1ml*3개+PDRN에센스 1.5ml*3ea),"32,000","22,000"
21,브링그린[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획,"27,000","16,900"
22,라로슈포제[7월 올영픽] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),"50,000","35,400"
23,쏘내추럴[7월 올영픽/태닝 마이멜로디] 쏘내추럴 올 데이 타이트 메이크업 세팅 픽서 120ml 더블기획(+러기지택),"42,000","31,500"
24,토리든[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매),"22,000","16,500"
25,토리든[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),"36,000","27,000"
26,토리든[증량기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),"21,000","15,700"
27,아누아[화해1위/수분광채크림] 아누아 피디알엔 히알루론산 100 수분 크림 60mL 기획 (+30mL),"32,000","19,500"
28,성분에디터[리뉴얼/잡티미백] 성분에디터 머루포도 비타씨 다크 스팟 앰플 40ml,"28,000","14,900"
29,메디큐브 에이지알[뷰티디바이스 1위] [광채토닝 메디큐브 부스터프로 쿠로미 에디션(+쿠로미헤드캡+세안밴드+디바이스클리너+스티커2종),"418,800","375,000"
30,오드로이[화해1위/화잘먹모공크림] 오드로이 블랙체리 모공수축크림 로프디 100ml 더블기획,"56,000","36,800"
31,마미케어[유시은pick/1등홈경락템] 마미케어 EMS브이쎄라 (화이트/핑크/NEW 퍼플에디션) (+전용 부스팅젤 본품 증정),"109,000","99,000"
32,퍼셀[7월 올영픽/리뷰이벤트/총 40ML] 퍼셀 20억/mL 픽셀바이옴 원액 20ml 더블 기획,"56,000","36,000"
33,제로이드[단독기획] 제로이드 인텐시브 크림 80ml 기획 (+크림 클렌저 25ml+데일리 선크림 10ml),"32,000","27,360"
34,셀라딕스[라부부키링증정] 셀라딕스 트러블 세범 리밸런싱 RX 131 앰플 30ml,"28,900","25,400"
35,에스트라에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 속수분 앰플 7ml),"33,000","29,700"
36,닥터오라클[화해어워드 1위/모공앰플] 닥터오라클 레티노타이트닝 비타민A 레티놀 앰플 50ml,"34,000","27,200"
37,구달[리뉴얼 | 리뷰이벤트] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 기획 (+35ml),"43,000","29,900"
38,메디큐브 에이지알[한정판/소량입고] [광채토닝] 메디큐브 부스터프로 헬로키티 에디션 (+헬로키티헤드캡+소독티슈),"418,800","375,000"
39,톰톰 글로우 레이어링 콜라겐 앰플 미스트 세럼,"59,000","49,020"
40,아누아[대용량 기획] 아누아 어성초 77 수딩 토너 350ml 기획 (+350ml 리필팩),"49,000","27,500"
41,온그리디언츠[7월 올영픽] [미니언즈 한정 에디션] 온그리디언츠 스킨 베리어 카밍 로션 기획(220ml+80ml),"39,900","28,800"
42,에스트라[올영픽]에스트라 아토베리어365 하이드로 수딩크림 100ml 대용량 기획 (+30ml+세라-히알 속수분 앰플3ml),"47,000","42,300"
43,피지오겔[한정기획] 피지오겔 DMT 페이셜 수분크림 100ml 2입 기획,"55,000","29,900"
44,제로이드[단독기획] 제로이드 수딩 크림 80ml 기획 (+수딩 로션 25ml+ 데일리 선크림 10ml),"30,000","25,500"
45,에스트라[7월 올영픽][50%용량증정]에스트라 아토베리어365 세라-히알 속수분 앰플 30ML+15ML 기획,"33,000","24,700"
46,아누아[NEW] 아누아 어성초 센텔라 레드 스팟 크림 30g,"19,800","15,500"
47,에스네이처[국동호PICK/쿨링진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+카밍패드 2매),"34,000","22,900"
48,바이오힐 보바이오힐 보 프로바이오덤 콜라겐 리모델링 세럼 30ml기획(더블기획/리필기획/슈링크기획),,"137,700"
49,"브링그린브링그린 징크테카트러블세럼 25ml+25ml 리필 폼폼푸린콜라보(+헤어핀,마그넷클립) / 50ml 기획세트","39,600","23,600"
50,에스트라(7월 올영픽)에스트라 아토베리어365 하이드로에센스 200ml 기획(+크림 10ml+세라-히알 앰플 10ml),"32,000","24,000"
51,성분에디터[리뉴얼/1등모공앰플] 성분에디터 그린토마토 NMN 포어 리프팅 앰플 40ml,"28,000","14,900"
52,더하르나이[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,"29,000","23,200"
53,토니모리토니모리 원더 세라마이드 모찌 토너 500ml 기획 (+100ml +크림 30ml),"17,000","12,750"
54,파티온[대용량/트러블1등] 파티온 노스카나인 트러블 세럼 50ml 리필 기획(+리필40ml+크림10ml),"54,000","33,900"
55,라로슈포제[7월 올영픽]라로슈포제 에빠끌라 세럼 30ml 기획 (+에빠폼 15ml+에빠세럼 3ml+스트레스볼 증정),"50,000","35,900"
56,달바[NO.1 미스트세럼/슬로우에이징] 달바 퍼스트 스프레이 세럼 100ml,"29,900","20,900"
57,이즈앤트리[NCT 재민PICK] 이즈앤트리 어니언 뉴페어 겔크림 50ml 기획 (+20ml +패드2매),"32,000","19,900"
58,VT[7월 올영픽/보습 광채탄력] VT PDRN 에센스 100 30ml기획 (+1.5ml*3개+리들샷 100 1ml*3개),"45,000","23,900"
59,넘버즈인[7월 올영픽] 넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml 리필 기획 (+50ml+포차코비치볼) (태닝 포차코),"38,000","25,000"
60,"파티온[단독기획] 파티온 노스카나인 트러블 크림 45ml 기획(+크림5ml, 세럼15ml 증정)","32,000","21,500"
61,디오디너리디오디너리 나이아신아마이드 10% + 징크 1% 60ml,,"15,700"
62,닥터지[속보습/수분진정] 닥터지 레드 블레미쉬 클리어 모이스처 크림 70ml+30ml 기획,"39,000","29,250"
63,빌리프[수분잠금/화잘먹세럼] 빌리프 슈퍼드랍스 멀티7 히알루론세럼 30ml 단품/1+1기획,"33,000","24,500"
64,코스알엑스[1+1/미백톤업] 코스알엑스 더 비타민C 23 세럼 20g 더블 기획 (20g + 20g),"46,000","32,200"
65,코스알엑스[7월올영픽/결광케어] 코스알엑스 더 6 펩타이드 스킨 부스터 세럼 150ml 기획 (+30mL),"23,000","16,500"
66,이니스프리이니스프리 레티놀 시카 흔적 앰플 30mL 기획 세트(+25ml+PDRN 5ml),"40,000","27,440"
67,아누아아누아 복숭아 70 나이아신아마이드 세럼 30ml 대용량 기획세트,"54,000","25,000"
68,닥터지[1+1/탄력보습] 닥터지 블랙 스네일 크림 50ml 1+1 증정 기획 (+15ml)(영양크림),"33,000","25,330"
69,에스네이처[매끈결광/화잘먹수분천재세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml,"21,000","14,900"
70,아벤느아벤느 오 떼르말 미스트 300ml 2입 기획,"34,000","25,900"
71,셀리맥스[단독기획/추가증정] 셀리맥스 더 리얼 노니 에너지 앰플 90ml 에디션 (80ml+10ml),"33,000","29,700"
72,넘버즈인[모공+피부결] 넘버즈인 3번 보들보들 결 세럼 80ml 기획(+3번 결 세럼팩),"38,000","25,600"
73,메디큐브[여름수분크림/화잘먹크림] 메디큐브 PDRN 핑크 히알루로닉 수분크림 50ml 더블기획,"49,000","26,400"
74,오브제오브제 포어 제로 토너/로션 2종 기획,"42,000","30,800"
75,피지오겔[비타민C 앰플] 피지오겔 사이언수티컬즈 데일리뮨 앰플 세럼 20ml 2입기획 (20ml+20ml),"78,000","54,000"
76,아비브[쿨링진정] 아비브 어성초 카밍 토너 스킨부스터 200ml,"23,000","16,100"
77,유세린[1+1/모공케어] 유세린 더머토클린 클래리파잉 토너 더블기획 (200ml+200ml),"28,000","26,600"
78,바이오힐 보[재구매1위/퀵보습진정] 바이오힐 보 판테셀 리페어시카 크림미스트 120mL+120mL 더블기획/단품,"18,000","13,500"
79,마미케어[모공절반감소/3천원페이백] 마미케어 바다포도 모공앰플 50ml,"22,000","15,800"
80,토리든[NEW/단독기획] 토리든 밸런스풀 시카 컨트롤 세럼 50ml 기획 (+크림 20ml),"23,000","15,300"
81,바이오더마바이오더마 시카비오 크림+ 100ml(딥 리페어 크림),"43,000","34,400"
82,VT[모공흡수] VT 리들샷 300 에센스 30ml 기획 (+리들샷 300 파우치 1ml*3ea),"24,900","17,900"
83,어나더페이스[탱글물광&수분진정] 어나더페이스 펩타테놀10 베리어 세럼 40ml,"28,000","21,000"
84,아누아[NEW] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,"64,000","27,500"
85,아비브[트러블리셋] 아비브 어성초 테카 캡슐 세럼 카밍드롭 50ml 기획 (+20ml),"32,000","22,400"
86,한율한율 어린쑥 수분진정 크림 55ml 기획 (+25ml+랩핑시트팩 1매),"38,000","28,800"
87,바이오힐 보[1등탄력] 바이오힐 보 프로바이오덤 3D 리프팅크림 50ml 리필기획,"39,000","29,200"
88,디어클레어스클레어스 블루 EGF 앰플 50ml 기획 (+10ml+카밍크림3g+워터크림3g),"59,000","43,600"
89,라운드랩[1등토너] 라운드랩 1025 독도 토너 200ml 기획 (+50ml),"15,000","13,500"
90,메이크프렘[수분진정] 메이크프렘 인테카 수딩크림 50ml 기획(+크림 31ml),"24,000","16,910"
91,브링그린[NEW] 브링그린 티트리시카수딩크림플러스100ml (단품/2입),"34,200","19,800"
92,빌리프[비타민마스크15ml 증정][쿨링토너] 빌리프 아쿠아밤 프로즌토너 드롭드롭드롭 기획(300ml+50ml+겔패드140매),"32,000","23,700"
93,빌리프[피부톤ON] NEW 빌리프 슈퍼 드랍스 비타C토닝세럼 30ml 단품 /1+1 기획,"37,000","27,500"
94,웰라쥬[총100ml/화잘먹크림] 웰라쥬 리얼 히알루로닉 100 크림 50ml 더블 기획,"39,000","25,900"
95,아비브[보습탄력] 아비브 부활초 크림 뉴트리션 튜브 75ml 기획 (+30ml 추가 증정),"35,000","24,500"
96,리쥬란[수량한정]리쥬란 힐러 턴오버 앰플 듀얼 이펙트 30ml (단품/기획),"59,000","49,900"
97,메디큐브 에이지알[NEW] [미백트러블광채] 메디큐브 에이지알 부스터프로 미니플러스 베이지/핑크,,"126,000"
98,닥터탱글닥터탱글 고주파 마사지기 블랙 에디션,,"498,000"
99,닥터지닥터지 레드블레미쉬 클리어 수딩 액티브 에센스 80ml,,"40,000"
100,아벤느[손상/장벽 리페어] 아벤느 시칼파트 플러스 SOS 리페어 크림 100ml 2입 기획,"45,000","39,900"
